id,customer_id,amount,billing_cycle,next_payment_date,status,payment_method,failure_reason,retry_count,created_at,expected_recovery_action,expected_outcome,recoverable,expected_amount_recovered
SUB00025,CUST00669,3181.63,monthly,2026-09-01,ACTIVE,UPI,,0,2025-12-28 19:44:05,NONE,ALREADY_SUCCESSFUL,False,0
SUB00026,CUST00078,1031.51,monthly,,CANCELLED,CARD,,0,2025-05-13 14:03:33,NONE,STOPPED,False,0
SUB00027,CUST00847,1997.26,monthly,2026-07-14,PAST_DUE,CARD,TEMPORARY_DECLINE,1,2025-09-23 14:24:40,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00028,CUST00492,1056.85,monthly,2026-07-25,PAST_DUE,WALLET,TEMPORARY_DECLINE,3,2025-03-30 13:42:00,ESCALATE,NOT_RECOVERED,False,0
SUB00029,CUST00493,2395.52,quarterly,2026-09-03,ACTIVE,NETBANKING,,0,2024-12-06 16:57:45,NONE,ALREADY_SUCCESSFUL,False,0
SUB00030,CUST00492,4485.26,quarterly,2026-09-09,ACTIVE,NETBANKING,,0,2026-06-14 10:45:34,NONE,ALREADY_SUCCESSFUL,False,0
SUB00031,CUST00314,357.41,monthly,2026-09-13,ACTIVE,WALLET,,0,2026-04-18 23:50:05,NONE,ALREADY_SUCCESSFUL,False,0
SUB00032,CUST00309,292.32,quarterly,2026-07-28,PAST_DUE,CARD,INSUFFICIENT_FUNDS,2,2024-09-14 12:11:41,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00033,CUST00006,2948.58,monthly,2026-08-03,PAST_DUE,CARD,EXPIRED_CARD,0,2024-09-26 15:54:05,SEND_PAYMENT_LINK,RECOVERED,True,2948.58
SUB00034,CUST00817,3416.56,monthly,2026-09-10,ACTIVE,UPI,,0,2025-09-12 10:03:15,NONE,ALREADY_SUCCESSFUL,False,0
SUB00035,CUST00266,496.41,monthly,,PAUSED,UPI,,0,2025-07-25 21:11:21,NONE,PAUSED,False,0
SUB00036,CUST00054,461.06,monthly,2026-09-13,ACTIVE,NETBANKING,,0,2024-09-24 05:55:57,NONE,ALREADY_SUCCESSFUL,False,0
SUB00037,CUST00340,2354.25,quarterly,2026-08-27,ACTIVE,WALLET,,0,2026-06-26 22:22:52,NONE,ALREADY_SUCCESSFUL,False,0
SUB00038,CUST00849,3700.68,monthly,2026-09-14,ACTIVE,UPI,,0,2024-11-15 16:00:33,NONE,ALREADY_SUCCESSFUL,False,0
SUB00039,CUST00565,2282.57,monthly,2026-09-25,ACTIVE,WALLET,,0,2025-03-19 02:29:27,NONE,ALREADY_SUCCESSFUL,False,0
SUB00040,CUST00220,4918.78,monthly,2026-08-09,PAST_DUE,UPI,EXPIRED_CARD,0,2024-10-02 04:52:54,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00041,CUST00286,1314.23,quarterly,2026-09-18,ACTIVE,NETBANKING,,0,2026-04-30 01:28:09,NONE,ALREADY_SUCCESSFUL,False,0
SUB00042,CUST00562,326.45,monthly,2026-09-08,ACTIVE,UPI,,0,2025-04-23 09:25:58,NONE,ALREADY_SUCCESSFUL,False,0
SUB00043,CUST00253,1143.18,quarterly,2026-09-06,ACTIVE,NETBANKING,,0,2025-05-15 11:47:42,NONE,ALREADY_SUCCESSFUL,False,0
SUB00044,CUST00899,386.82,monthly,2026-08-28,ACTIVE,NETBANKING,,0,2024-12-01 10:38:43,NONE,ALREADY_SUCCESSFUL,False,0
SUB00045,CUST00495,3859.28,quarterly,2026-09-20,ACTIVE,UPI,,0,2025-10-15 12:50:32,NONE,ALREADY_SUCCESSFUL,False,0
SUB00046,CUST00296,2922.54,monthly,2026-09-02,ACTIVE,CARD,,0,2025-04-16 23:33:04,NONE,ALREADY_SUCCESSFUL,False,0
SUB00047,CUST00502,1683.72,monthly,2026-08-27,ACTIVE,CARD,,0,2025-08-27 18:15:48,NONE,ALREADY_SUCCESSFUL,False,0
SUB00048,CUST00550,613.01,annual,2026-08-06,PAST_DUE,CARD,PAYMENT_METHOD_REMOVED,3,2024-11-13 15:30:17,ESCALATE,NOT_RECOVERED,False,0
SUB00049,CUST00148,4950.54,monthly,2026-09-04,ACTIVE,WALLET,,0,2025-07-12 05:04:44,NONE,ALREADY_SUCCESSFUL,False,0
SUB00050,CUST00080,4910.67,quarterly,2026-08-03,PAST_DUE,NETBANKING,INSUFFICIENT_FUNDS,3,2025-02-08 23:10:37,ESCALATE,NOT_RECOVERED,False,0
SUB00051,CUST00164,255.23,monthly,2026-09-04,ACTIVE,WALLET,,0,2024-10-03 08:47:47,NONE,ALREADY_SUCCESSFUL,False,0
SUB00052,CUST00560,526.87,monthly,2026-09-19,ACTIVE,NETBANKING,,0,2026-07-15 17:13:56,NONE,ALREADY_SUCCESSFUL,False,0
SUB00053,CUST00472,3213.01,monthly,2026-09-01,ACTIVE,CARD,,0,2025-09-15 22:54:20,NONE,ALREADY_SUCCESSFUL,False,0
SUB00054,CUST00360,2275.8,monthly,2026-08-18,PAST_DUE,WALLET,EXPIRED_CARD,1,2025-02-02 20:52:21,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00055,CUST00480,2020.23,quarterly,2026-08-16,PAST_DUE,CARD,INSUFFICIENT_FUNDS,0,2026-01-11 12:27:04,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00056,CUST00530,2509.88,monthly,2026-09-09,ACTIVE,UPI,,0,2024-12-13 15:19:02,NONE,ALREADY_SUCCESSFUL,False,0
SUB00057,CUST00292,280.36,monthly,,CANCELLED,WALLET,,0,2026-04-16 11:35:15,NONE,STOPPED,False,0
SUB00058,CUST00180,3179.93,monthly,,CANCELLED,NETBANKING,,0,2026-03-25 05:16:10,NONE,STOPPED,False,0
SUB00059,CUST00053,902.58,monthly,2026-09-04,ACTIVE,UPI,,0,2026-06-10 17:23:08,NONE,ALREADY_SUCCESSFUL,False,0
SUB00060,CUST00645,250.51,monthly,2026-09-19,ACTIVE,UPI,,0,2026-01-05 05:25:16,NONE,ALREADY_SUCCESSFUL,False,0
SUB00061,CUST00567,1342.29,quarterly,2026-09-10,ACTIVE,UPI,,0,2026-02-01 19:34:43,NONE,ALREADY_SUCCESSFUL,False,0
SUB00062,CUST00844,2777.72,quarterly,2026-09-18,ACTIVE,CARD,,0,2025-07-21 10:26:47,NONE,ALREADY_SUCCESSFUL,False,0
SUB00063,CUST00832,4520.07,monthly,2026-09-22,ACTIVE,WALLET,,0,2026-06-17 22:15:08,NONE,ALREADY_SUCCESSFUL,False,0
SUB00064,CUST00277,3503.01,monthly,2026-09-10,ACTIVE,WALLET,,0,2025-01-09 13:31:43,NONE,ALREADY_SUCCESSFUL,False,0
SUB00065,CUST00156,1953.41,monthly,2026-07-14,PAST_DUE,CARD,EXPIRED_CARD,4,2025-08-15 14:17:12,ESCALATE,NOT_RECOVERED,False,0
SUB00066,CUST00027,3358.42,monthly,2026-09-19,ACTIVE,WALLET,,0,2025-05-08 22:36:01,NONE,ALREADY_SUCCESSFUL,False,0
SUB00067,CUST00096,4094.2,quarterly,,PAUSED,CARD,,0,2026-06-12 03:35:55,NONE,PAUSED,False,0
SUB00068,CUST00089,3774.91,monthly,2026-09-16,ACTIVE,UPI,,0,2024-11-13 23:23:16,NONE,ALREADY_SUCCESSFUL,False,0
SUB00069,CUST00433,4848.61,quarterly,,PAUSED,NETBANKING,,0,2024-10-01 14:04:37,NONE,PAUSED,False,0
SUB00070,CUST00148,908.36,monthly,2026-08-20,PAST_DUE,UPI,INSUFFICIENT_FUNDS,2,2026-02-14 19:51:59,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00071,CUST00142,4742.46,monthly,2026-09-05,ACTIVE,WALLET,,0,2026-06-23 09:43:44,NONE,ALREADY_SUCCESSFUL,False,0
SUB00072,CUST00873,1389.85,monthly,2026-09-14,ACTIVE,CARD,,0,2026-05-28 13:30:41,NONE,ALREADY_SUCCESSFUL,False,0
SUB00073,CUST00768,1915.57,monthly,2026-08-14,PAST_DUE,CARD,EXPIRED_CARD,2,2025-09-06 01:25:01,SEND_PAYMENT_LINK,RECOVERED,True,1915.57
SUB00074,CUST00735,2464.18,monthly,2026-08-06,PAST_DUE,NETBANKING,EXPIRED_CARD,0,2026-02-28 20:53:52,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00075,CUST00004,4854.79,quarterly,2026-09-13,ACTIVE,WALLET,,0,2025-05-16 03:06:37,NONE,ALREADY_SUCCESSFUL,False,0
SUB00076,CUST00922,3144.26,monthly,2026-09-24,ACTIVE,WALLET,,0,2026-06-21 08:26:09,NONE,ALREADY_SUCCESSFUL,False,0
SUB00077,CUST00411,2366.97,monthly,2026-09-19,ACTIVE,WALLET,,0,2025-05-29 08:09:02,NONE,ALREADY_SUCCESSFUL,False,0
SUB00078,CUST00700,2192.81,quarterly,2026-08-16,PAST_DUE,CARD,TEMPORARY_DECLINE,1,2025-03-10 19:51:32,RETRY_PAYMENT,RECOVERED,True,2192.81
SUB00079,CUST00463,3808.16,monthly,2026-09-23,ACTIVE,WALLET,,0,2026-06-14 01:19:49,NONE,ALREADY_SUCCESSFUL,False,0
SUB00080,CUST00935,4824.19,annual,2026-07-24,PAST_DUE,NETBANKING,TEMPORARY_DECLINE,2,2024-12-26 06:36:55,RETRY_PAYMENT,RECOVERED,True,4824.19
SUB00081,CUST00650,493.46,quarterly,2026-07-26,PAST_DUE,NETBANKING,EXPIRED_CARD,1,2025-06-20 17:37:27,SEND_PAYMENT_LINK,RECOVERED,True,493.46
SUB00082,CUST00024,3503.25,monthly,,CANCELLED,NETBANKING,,0,2025-07-03 01:26:52,NONE,STOPPED,False,0
SUB00083,CUST00387,4538.69,monthly,2026-09-20,ACTIVE,CARD,,0,2025-12-06 19:58:54,NONE,ALREADY_SUCCESSFUL,False,0
SUB00084,CUST00406,2210.43,monthly,2026-07-24,PAST_DUE,UPI,PAYMENT_METHOD_REMOVED,3,2025-04-11 06:45:42,ESCALATE,NOT_RECOVERED,False,0
SUB00085,CUST00804,3434.25,monthly,2026-09-03,ACTIVE,NETBANKING,,0,2024-10-16 21:32:48,NONE,ALREADY_SUCCESSFUL,False,0
SUB00086,CUST00425,1652.46,monthly,2026-09-01,ACTIVE,CARD,,0,2025-09-07 06:59:48,NONE,ALREADY_SUCCESSFUL,False,0
SUB00087,CUST00961,3472.03,annual,2026-09-08,ACTIVE,NETBANKING,,0,2025-12-22 18:20:01,NONE,ALREADY_SUCCESSFUL,False,0
SUB00088,CUST00064,1601.1,monthly,2026-09-16,ACTIVE,WALLET,,0,2025-01-20 23:16:56,NONE,ALREADY_SUCCESSFUL,False,0
SUB00089,CUST00789,551.62,monthly,,CANCELLED,UPI,,0,2026-01-30 15:19:03,NONE,STOPPED,False,0
SUB00090,CUST00242,1036.94,quarterly,2026-09-23,ACTIVE,NETBANKING,,0,2024-09-09 15:31:53,NONE,ALREADY_SUCCESSFUL,False,0
SUB00091,CUST00188,1826.8,monthly,2026-08-31,ACTIVE,UPI,,0,2026-06-21 16:37:28,NONE,ALREADY_SUCCESSFUL,False,0
SUB00092,CUST00624,4979.76,monthly,2026-09-23,ACTIVE,CARD,,0,2024-10-17 10:45:52,NONE,ALREADY_SUCCESSFUL,False,0
SUB00093,CUST00199,327.3,monthly,2026-09-21,ACTIVE,NETBANKING,,0,2026-03-09 13:10:54,NONE,ALREADY_SUCCESSFUL,False,0
SUB00094,CUST00548,4876.91,monthly,2026-09-13,ACTIVE,UPI,,0,2026-03-29 08:42:30,NONE,ALREADY_SUCCESSFUL,False,0
SUB00095,CUST00272,872.47,quarterly,2026-09-07,ACTIVE,UPI,,0,2025-03-17 06:23:12,NONE,ALREADY_SUCCESSFUL,False,0
SUB00096,CUST00331,1165.61,monthly,2026-09-25,ACTIVE,UPI,,0,2025-01-26 14:58:09,NONE,ALREADY_SUCCESSFUL,False,0
SUB00097,CUST00787,1644.03,monthly,2026-09-04,ACTIVE,WALLET,,0,2025-06-14 13:51:46,NONE,ALREADY_SUCCESSFUL,False,0
SUB00098,CUST00803,338.38,monthly,,CANCELLED,WALLET,,0,2024-12-20 09:23:42,NONE,STOPPED,False,0
SUB00099,CUST00086,3037.89,monthly,2026-09-20,ACTIVE,CARD,,0,2024-11-11 05:40:34,NONE,ALREADY_SUCCESSFUL,False,0
SUB00100,CUST00177,4244.42,monthly,2026-07-12,PAST_DUE,UPI,INSUFFICIENT_FUNDS,1,2025-08-11 00:22:15,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00101,CUST00382,243.39,monthly,2026-09-25,ACTIVE,WALLET,,0,2024-11-25 18:50:14,NONE,ALREADY_SUCCESSFUL,False,0
SUB00102,CUST00794,2299.88,monthly,2026-09-21,ACTIVE,WALLET,,0,2025-09-21 00:30:34,NONE,ALREADY_SUCCESSFUL,False,0
SUB00103,CUST00174,3066.36,monthly,2026-08-31,ACTIVE,UPI,,0,2025-11-19 07:06:01,NONE,ALREADY_SUCCESSFUL,False,0
SUB00104,CUST00153,1353.11,monthly,2026-09-08,ACTIVE,NETBANKING,,0,2025-03-29 19:02:29,NONE,ALREADY_SUCCESSFUL,False,0
SUB00105,CUST00868,3110.35,quarterly,,CANCELLED,NETBANKING,,0,2026-07-18 20:05:48,NONE,STOPPED,False,0
SUB00106,CUST00282,2409.76,monthly,,CANCELLED,UPI,,0,2025-08-06 05:05:54,NONE,STOPPED,False,0
SUB00107,CUST00794,2647.89,monthly,2026-09-12,ACTIVE,UPI,,0,2025-12-18 02:53:51,NONE,ALREADY_SUCCESSFUL,False,0
SUB00108,CUST00476,4465.68,monthly,2026-09-19,ACTIVE,UPI,,0,2025-10-20 21:28:54,NONE,ALREADY_SUCCESSFUL,False,0
SUB00109,CUST00952,4834.83,monthly,2026-09-06,ACTIVE,UPI,,0,2024-08-29 21:06:45,NONE,ALREADY_SUCCESSFUL,False,0
SUB00110,CUST00760,415.83,quarterly,2026-08-05,PAST_DUE,UPI,EXPIRED_CARD,0,2026-06-25 14:52:15,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00111,CUST00278,474.09,monthly,2026-08-30,ACTIVE,NETBANKING,,0,2026-01-31 08:19:50,NONE,ALREADY_SUCCESSFUL,False,0
SUB00112,CUST00931,4925.69,monthly,,CANCELLED,WALLET,,0,2026-05-02 13:46:22,NONE,STOPPED,False,0
SUB00113,CUST00404,241.67,monthly,,CANCELLED,WALLET,,0,2025-06-05 17:54:41,NONE,STOPPED,False,0
SUB00114,CUST00299,1024.68,monthly,2026-09-08,ACTIVE,WALLET,,0,2025-10-09 06:56:20,NONE,ALREADY_SUCCESSFUL,False,0
SUB00115,CUST00866,4862.69,monthly,2026-09-07,ACTIVE,WALLET,,0,2025-06-16 03:52:42,NONE,ALREADY_SUCCESSFUL,False,0
SUB00116,CUST00219,4742.28,quarterly,2026-09-03,ACTIVE,CARD,,0,2025-08-02 01:07:32,NONE,ALREADY_SUCCESSFUL,False,0
SUB00117,CUST00074,4367.14,quarterly,,PAUSED,CARD,,0,2025-01-31 00:15:43,NONE,PAUSED,False,0
SUB00118,CUST00594,3483.84,quarterly,2026-09-20,ACTIVE,NETBANKING,,0,2025-01-22 12:13:42,NONE,ALREADY_SUCCESSFUL,False,0
SUB00119,CUST00002,4618.61,quarterly,2026-08-27,ACTIVE,NETBANKING,,0,2024-12-17 05:13:36,NONE,ALREADY_SUCCESSFUL,False,0
SUB00120,CUST00961,3229.31,monthly,2026-07-17,PAST_DUE,NETBANKING,EXPIRED_CARD,1,2025-05-08 15:29:58,SEND_PAYMENT_LINK,RECOVERED,True,3229.31
SUB00121,CUST00128,736.38,monthly,2026-09-18,ACTIVE,CARD,,0,2025-06-08 18:40:53,NONE,ALREADY_SUCCESSFUL,False,0
SUB00122,CUST00181,368.85,monthly,2026-09-16,ACTIVE,NETBANKING,,0,2025-08-25 19:41:09,NONE,ALREADY_SUCCESSFUL,False,0
SUB00123,CUST00898,3244.83,monthly,2026-08-20,PAST_DUE,UPI,EXPIRED_CARD,0,2024-12-05 12:44:17,SEND_PAYMENT_LINK,RECOVERED,True,3244.83
SUB00124,CUST00195,1168.38,annual,2026-09-24,ACTIVE,CARD,,0,2026-02-06 07:37:18,NONE,ALREADY_SUCCESSFUL,False,0
SUB00125,CUST00924,1701.94,quarterly,2026-09-19,ACTIVE,NETBANKING,,0,2026-04-18 16:36:44,NONE,ALREADY_SUCCESSFUL,False,0
SUB00126,CUST00821,4102.17,monthly,2026-08-24,PAST_DUE,UPI,PAYMENT_METHOD_REMOVED,2,2025-08-17 03:57:54,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00127,CUST00493,805.98,monthly,2026-07-28,PAST_DUE,NETBANKING,INSUFFICIENT_FUNDS,2,2025-01-21 17:32:50,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00128,CUST00045,3757.72,monthly,2026-09-06,ACTIVE,WALLET,,0,2025-08-31 03:59:04,NONE,ALREADY_SUCCESSFUL,False,0
SUB00129,CUST00736,2718.56,monthly,,CANCELLED,WALLET,,0,2025-11-02 09:00:56,NONE,STOPPED,False,0
SUB00130,CUST00991,4214.71,annual,2026-07-18,PAST_DUE,CARD,INSUFFICIENT_FUNDS,3,2026-01-12 20:28:19,ESCALATE,NOT_RECOVERED,False,0
SUB00131,CUST00653,2685.23,monthly,2026-09-04,ACTIVE,CARD,,0,2026-04-03 07:11:47,NONE,ALREADY_SUCCESSFUL,False,0
SUB00132,CUST00544,3926.76,monthly,2026-08-21,PAST_DUE,NETBANKING,EXPIRED_CARD,2,2026-05-24 04:48:22,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00133,CUST00831,3693.46,monthly,2026-09-21,ACTIVE,NETBANKING,,0,2025-05-15 06:51:08,NONE,ALREADY_SUCCESSFUL,False,0
SUB00134,CUST00105,970.57,monthly,,CANCELLED,NETBANKING,,0,2024-12-07 11:05:11,NONE,STOPPED,False,0
SUB00135,CUST00953,1532.19,monthly,2026-09-03,ACTIVE,NETBANKING,,0,2025-05-06 07:00:30,NONE,ALREADY_SUCCESSFUL,False,0
SUB00136,CUST00238,2816.96,quarterly,2026-09-07,ACTIVE,CARD,,0,2026-06-14 11:12:24,NONE,ALREADY_SUCCESSFUL,False,0
SUB00137,CUST00159,4801.58,monthly,2026-08-31,ACTIVE,CARD,,0,2026-04-23 11:44:25,NONE,ALREADY_SUCCESSFUL,False,0
SUB00138,CUST00449,1531.81,monthly,2026-08-03,PAST_DUE,WALLET,PAYMENT_METHOD_REMOVED,2,2026-07-19 10:28:03,SEND_PAYMENT_LINK,RECOVERED,True,1531.81
SUB00139,CUST00405,429.87,quarterly,2026-08-23,PAST_DUE,NETBANKING,PAYMENT_METHOD_REMOVED,2,2026-04-28 17:03:48,SEND_PAYMENT_LINK,RECOVERED,True,429.87
SUB00140,CUST00271,2788.4,quarterly,2026-09-22,ACTIVE,CARD,,0,2026-04-15 21:46:13,NONE,ALREADY_SUCCESSFUL,False,0
SUB00141,CUST00936,3933.42,monthly,2026-09-06,ACTIVE,CARD,,0,2025-11-28 23:01:13,NONE,ALREADY_SUCCESSFUL,False,0
SUB00142,CUST00030,2225.99,monthly,2026-08-15,PAST_DUE,CARD,TEMPORARY_DECLINE,1,2025-10-24 02:47:26,RETRY_PAYMENT,RECOVERED,True,2225.99
SUB00143,CUST00788,4198.27,monthly,2026-09-22,ACTIVE,CARD,,0,2024-10-15 08:12:46,NONE,ALREADY_SUCCESSFUL,False,0
SUB00144,CUST00239,3466.39,monthly,2026-09-03,ACTIVE,WALLET,,0,2025-05-09 02:25:29,NONE,ALREADY_SUCCESSFUL,False,0
SUB00145,CUST00629,3479.4,monthly,2026-08-05,PAST_DUE,NETBANKING,INSUFFICIENT_FUNDS,0,2024-12-27 09:36:36,RETRY_PAYMENT,RECOVERED,True,3479.4
SUB00146,CUST00685,4017.8,monthly,2026-09-11,ACTIVE,NETBANKING,,0,2024-10-31 05:21:54,NONE,ALREADY_SUCCESSFUL,False,0
SUB00147,CUST00302,4286.54,monthly,2026-09-18,ACTIVE,UPI,,0,2026-03-28 00:05:08,NONE,ALREADY_SUCCESSFUL,False,0
SUB00148,CUST00141,523.06,monthly,2026-09-20,ACTIVE,WALLET,,0,2025-07-23 10:46:46,NONE,ALREADY_SUCCESSFUL,False,0
SUB00149,CUST00303,3849.87,monthly,2026-09-19,ACTIVE,WALLET,,0,2025-09-23 23:46:55,NONE,ALREADY_SUCCESSFUL,False,0
SUB00150,CUST00004,4421.06,monthly,2026-07-15,PAST_DUE,NETBANKING,TEMPORARY_DECLINE,4,2025-12-31 03:32:49,ESCALATE,NOT_RECOVERED,False,0
SUB00151,CUST00557,4501.99,quarterly,2026-09-07,ACTIVE,CARD,,0,2025-09-02 20:57:29,NONE,ALREADY_SUCCESSFUL,False,0
SUB00152,CUST00109,2911.24,quarterly,,CANCELLED,WALLET,,0,2026-06-16 08:15:27,NONE,STOPPED,False,0
SUB00153,CUST00478,1752.24,monthly,,CANCELLED,CARD,,0,2025-07-27 12:49:13,NONE,STOPPED,False,0
SUB00154,CUST00506,957.4,monthly,2026-07-17,PAST_DUE,NETBANKING,EXPIRED_CARD,1,2024-12-11 18:00:33,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
SUB00155,CUST00357,1995.31,monthly,2026-08-22,PAST_DUE,NETBANKING,EXPIRED_CARD,1,2026-01-14 08:29:03,SEND_PAYMENT_LINK,RECOVERED,True,1995.31
SUB00156,CUST00735,2933.08,quarterly,2026-09-16,ACTIVE,WALLET,,0,2025-03-19 12:40:37,NONE,ALREADY_SUCCESSFUL,False,0
SUB00157,CUST00827,373.48,monthly,2026-08-22,PAST_DUE,CARD,TEMPORARY_DECLINE,1,2025-01-28 13:35:37,RETRY_PAYMENT,RECOVERED,True,373.48
SUB00158,CUST00122,4464.81,monthly,2026-09-17,ACTIVE,NETBANKING,,0,2026-02-25 23:27:12,NONE,ALREADY_SUCCESSFUL,False,0
SUB00159,CUST00082,4036.61,quarterly,2026-09-02,ACTIVE,CARD,,0,2026-03-27 23:13:34,NONE,ALREADY_SUCCESSFUL,False,0
SUB00160,CUST00115,1378.08,monthly,2026-09-09,ACTIVE,UPI,,0,2024-12-04 09:28:35,NONE,ALREADY_SUCCESSFUL,False,0
SUB00161,CUST00873,1026.07,quarterly,,CANCELLED,CARD,,0,2026-05-29 06:24:11,NONE,STOPPED,False,0
SUB00162,CUST00100,555.37,quarterly,,CANCELLED,WALLET,,0,2025-06-10 02:23:45,NONE,STOPPED,False,0
SUB00163,CUST00208,1553.19,monthly,2026-07-31,PAST_DUE,WALLET,PAYMENT_METHOD_REMOVED,3,2025-11-20 18:06:35,ESCALATE,NOT_RECOVERED,False,0
SUB00164,CUST00428,4903.23,quarterly,2026-09-25,ACTIVE,CARD,,0,2025-01-11 23:18:57,NONE,ALREADY_SUCCESSFUL,False,0
SUB00165,CUST00935,2224.78,monthly,,CANCELLED,WALLET,,0,2025-08-20 01:05:50,NONE,STOPPED,False,0
SUB00166,CUST00698,674.9,monthly,2026-08-21,PAST_DUE,NETBANKING,TEMPORARY_DECLINE,4,2025-05-25 23:15:22,ESCALATE,NOT_RECOVERED,False,0
SUB00167,CUST00670,3145.92,monthly,,PAUSED,WALLET,,0,2025-02-24 11:19:16,NONE,PAUSED,False,0
SUB00168,CUST00250,599.05,monthly,2026-09-17,ACTIVE,WALLET,,0,2025-03-04 13:39:17,NONE,ALREADY_SUCCESSFUL,False,0
SUB00169,CUST00854,208.5,monthly,2026-09-21,ACTIVE,UPI,,0,2026-04-07 06:08:05,NONE,ALREADY_SUCCESSFUL,False,0
SUB00170,CUST00125,3814.01,monthly,2026-08-31,ACTIVE,UPI,,0,2025-11-28 00:17:35,NONE,ALREADY_SUCCESSFUL,False,0
