id,customer_id,amount,currency,payment_method,gateway,bank,region,status,failure_reason,attempt_number,created_at,updated_at,expected_recovery_action,expected_outcome,recoverable,expected_amount_recovered
TXN000017,CUST00478,42135.57,INR,UPI,Gateway A,Bank D,East,FAILED,AMBIGUOUS,1,2026-02-28 04:26:09,2026-02-28 06:33:09,ESCALATE,NOT_RECOVERED,False,0
TXN000018,CUST00966,39823.52,INR,CARD,Gateway D,Bank C,West,FAILED,AMBIGUOUS,2,2026-01-18 10:14:09,2026-01-18 12:41:09,ESCALATE,NOT_RECOVERED,False,0
TXN000019,CUST00386,17149.62,INR,CARD,Gateway B,Bank E,East,FAILED,TEMPORARY_DECLINE,1,2025-10-13 02:15:19,2025-10-13 02:31:19,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000020,CUST00983,16993.62,INR,NETBANKING,Gateway C,Bank B,East,SUCCESS,,1,2025-11-30 12:38:39,2025-11-30 15:05:39,NONE,ALREADY_SUCCESSFUL,False,0
TXN000021,CUST00284,32641.15,INR,NETBANKING,Gateway B,Bank A,East,SUCCESS,,1,2026-03-17 04:16:50,2026-03-17 04:44:50,NONE,ALREADY_SUCCESSFUL,False,0
TXN000022,CUST00352,36160.29,INR,NETBANKING,Gateway A,Bank B,South,FAILED,TEMPORARY_DECLINE,2,2025-10-04 04:11:40,2025-10-04 04:51:40,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000023,CUST00426,24177.21,INR,WALLET,Gateway A,Bank C,North,SUCCESS,,1,2026-02-24 20:35:48,2026-02-24 23:17:48,NONE,ALREADY_SUCCESSFUL,False,0
TXN000024,CUST00627,308.99,INR,CARD,Gateway D,Bank A,East,FAILED,TEMPORARY_DECLINE,1,2026-08-24 11:56:43,2026-08-24 12:36:43,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000025,CUST00474,12006.8,INR,NETBANKING,Gateway B,Bank B,East,FAILED,TEMPORARY_DECLINE,1,2026-05-09 18:13:04,2026-05-09 19:48:04,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000026,CUST00404,22688.78,INR,NETBANKING,Gateway B,Bank E,West,ABANDONED,ABANDONED_CHECKOUT,1,2026-01-24 13:12:06,2026-01-24 15:36:06,SEND_PAYMENT_LINK,RECOVERED,True,22688.78
TXN000027,CUST00343,31590.66,INR,WALLET,Gateway B,Bank B,East,FAILED,AMBIGUOUS,1,2026-05-20 06:54:31,2026-05-20 07:42:31,ESCALATE,NOT_RECOVERED,False,0
TXN000028,CUST00892,6293.09,INR,UPI,Gateway D,Bank C,North,FAILED,GATEWAY_FAILURE,2,2026-04-01 12:27:07,2026-04-01 13:46:07,ALTERNATE_METHOD,RECOVERED,True,6293.09
TXN000029,CUST00731,34192.15,INR,NETBANKING,Gateway C,Bank A,West,SUCCESS,,1,2026-06-15 08:37:48,2026-06-15 10:54:48,NONE,ALREADY_SUCCESSFUL,False,0
TXN000030,CUST00471,41159.41,INR,UPI,Gateway C,Bank D,West,FAILED,INSUFFICIENT_FUNDS,2,2025-09-03 11:33:15,2025-09-03 11:40:15,RETRY_PAYMENT,RECOVERED,True,41159.41
TXN000031,CUST00436,17213.26,INR,CARD,Gateway C,Bank E,North,SUCCESS,,1,2026-01-06 23:08:51,2026-01-07 00:44:51,NONE,ALREADY_SUCCESSFUL,False,0
TXN000032,CUST00434,45420.32,INR,WALLET,Gateway D,Bank E,North,SUCCESS,,1,2026-07-15 06:58:19,2026-07-15 08:37:19,NONE,ALREADY_SUCCESSFUL,False,0
TXN000033,CUST00219,5670.55,INR,UPI,Gateway D,Bank C,South,SUCCESS,,1,2026-04-23 06:08:54,2026-04-23 08:51:54,NONE,ALREADY_SUCCESSFUL,False,0
TXN000034,CUST00598,733.19,INR,CARD,Gateway C,Bank A,North,SUCCESS,,1,2025-12-09 04:41:40,2025-12-09 06:53:40,NONE,ALREADY_SUCCESSFUL,False,0
TXN000035,CUST00057,24115.74,INR,WALLET,Gateway C,Bank C,North,SUCCESS,,1,2026-03-21 05:55:42,2026-03-21 08:24:42,NONE,ALREADY_SUCCESSFUL,False,0
TXN000036,CUST00600,4962.67,INR,WALLET,Gateway D,Bank E,South,SUCCESS,,1,2026-07-28 18:35:39,2026-07-28 19:37:39,NONE,ALREADY_SUCCESSFUL,False,0
TXN000037,CUST00344,27980.96,INR,UPI,Gateway B,Bank E,East,SUCCESS,,1,2026-02-20 03:09:22,2026-02-20 03:22:22,NONE,ALREADY_SUCCESSFUL,False,0
TXN000038,CUST00219,25038.03,INR,NETBANKING,Gateway A,Bank E,West,FAILED,GATEWAY_FAILURE,2,2026-05-23 05:18:32,2026-05-23 06:36:32,ALTERNATE_METHOD,RECOVERED,True,25038.03
TXN000039,CUST00443,47380.23,INR,UPI,Gateway D,Bank A,West,SUCCESS,,1,2025-09-28 18:51:32,2025-09-28 21:00:32,NONE,ALREADY_SUCCESSFUL,False,0
TXN000040,CUST00271,4684.68,INR,NETBANKING,Gateway B,Bank D,North,SUCCESS,,1,2026-04-28 19:23:35,2026-04-28 20:05:35,NONE,ALREADY_SUCCESSFUL,False,0
TXN000041,CUST00820,25202.71,INR,WALLET,Gateway C,Bank C,East,SUCCESS,,1,2026-06-11 19:14:54,2026-06-11 19:21:54,NONE,ALREADY_SUCCESSFUL,False,0
TXN000042,CUST00626,41221.27,INR,UPI,Gateway C,Bank A,South,FAILED,TEMPORARY_DECLINE,1,2026-03-28 13:21:12,2026-03-28 15:04:12,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000043,CUST00465,7097.08,INR,WALLET,Gateway C,Bank A,West,ABANDONED,ABANDONED_CHECKOUT,2,2026-08-03 21:08:28,2026-08-03 23:03:28,SEND_PAYMENT_LINK,RECOVERED,True,7097.08
TXN000044,CUST00807,20076.1,INR,WALLET,Gateway D,Bank D,North,FAILED,REPEATED_FAILURE,4,2026-03-26 07:59:19,2026-03-26 08:15:19,ESCALATE,NOT_RECOVERED,False,0
TXN000045,CUST00998,17273.8,INR,UPI,Gateway D,Bank A,South,SUCCESS,,1,2026-05-13 02:16:44,2026-05-13 02:30:44,NONE,ALREADY_SUCCESSFUL,False,0
TXN000046,CUST00601,29248.71,INR,NETBANKING,Gateway B,Bank D,East,SUCCESS,,1,2026-01-13 23:19:52,2026-01-13 23:20:52,NONE,ALREADY_SUCCESSFUL,False,0
TXN000047,CUST00581,1572.15,INR,UPI,Gateway C,Bank E,East,SUCCESS,,1,2026-07-11 15:44:16,2026-07-11 17:07:16,NONE,ALREADY_SUCCESSFUL,False,0
TXN000048,CUST00263,32529.45,INR,NETBANKING,Gateway C,Bank B,North,SUCCESS,,1,2025-09-14 12:12:38,2025-09-14 13:48:38,NONE,ALREADY_SUCCESSFUL,False,0
TXN000049,CUST00068,29012.87,INR,WALLET,Gateway A,Bank B,North,SUCCESS,,1,2026-06-16 15:41:21,2026-06-16 15:51:21,NONE,ALREADY_SUCCESSFUL,False,0
TXN000050,CUST00719,44053.24,INR,CARD,Gateway A,Bank E,East,FAILED,REPEATED_FAILURE,5,2025-11-20 07:11:39,2025-11-20 09:20:39,ESCALATE,NOT_RECOVERED,False,0
TXN000051,CUST00415,15283.58,INR,UPI,Gateway C,Bank C,West,SUCCESS,,1,2026-01-23 10:04:47,2026-01-23 12:41:47,NONE,ALREADY_SUCCESSFUL,False,0
TXN000052,CUST00060,17102.83,INR,WALLET,Gateway B,Bank B,South,SUCCESS,,1,2026-04-23 07:17:20,2026-04-23 09:58:20,NONE,ALREADY_SUCCESSFUL,False,0
TXN000053,CUST00236,7649.32,INR,CARD,Gateway C,Bank C,East,SUCCESS,,1,2026-01-03 02:17:26,2026-01-03 05:08:26,NONE,ALREADY_SUCCESSFUL,False,0
TXN000054,CUST00681,17053.4,INR,CARD,Gateway B,Bank B,West,FAILED,INSUFFICIENT_FUNDS,1,2025-09-28 22:12:07,2025-09-29 00:32:07,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000055,CUST00425,18880.58,INR,CARD,Gateway A,Bank C,West,SUCCESS,,1,2026-06-27 20:45:35,2026-06-27 21:15:35,NONE,ALREADY_SUCCESSFUL,False,0
TXN000056,CUST00518,26882.09,INR,UPI,Gateway D,Bank E,West,SUCCESS,,1,2026-08-07 08:28:15,2026-08-07 08:58:15,NONE,ALREADY_SUCCESSFUL,False,0
TXN000057,CUST00470,42315.04,INR,NETBANKING,Gateway D,Bank B,North,SUCCESS,,1,2026-01-21 12:17:44,2026-01-21 15:02:44,NONE,ALREADY_SUCCESSFUL,False,0
TXN000058,CUST00033,8325.85,INR,NETBANKING,Gateway D,Bank B,East,SUCCESS,,1,2025-09-17 00:51:35,2025-09-17 01:56:35,NONE,ALREADY_SUCCESSFUL,False,0
TXN000059,CUST00205,23674.08,INR,WALLET,Gateway C,Bank D,South,FAILED,TEMPORARY_DECLINE,2,2025-10-30 16:44:52,2025-10-30 18:45:52,RETRY_PAYMENT,RECOVERED,True,23674.08
TXN000060,CUST00351,30728.45,INR,WALLET,Gateway D,Bank A,North,SUCCESS,,1,2026-02-07 08:23:06,2026-02-07 09:52:06,NONE,ALREADY_SUCCESSFUL,False,0
TXN000061,CUST00083,10950.64,INR,NETBANKING,Gateway B,Bank A,South,SUCCESS,,1,2025-12-20 12:13:34,2025-12-20 13:02:34,NONE,ALREADY_SUCCESSFUL,False,0
TXN000062,CUST00818,38677.22,INR,CARD,Gateway C,Bank B,South,FAILED,TEMPORARY_DECLINE,1,2026-08-19 09:09:05,2026-08-19 09:13:05,RETRY_PAYMENT,RECOVERED,True,38677.22
TXN000063,CUST00198,12153.07,INR,CARD,Gateway D,Bank D,North,SUCCESS,,1,2025-10-08 01:11:27,2025-10-08 02:24:27,NONE,ALREADY_SUCCESSFUL,False,0
TXN000064,CUST00283,11352.52,INR,WALLET,Gateway C,Bank E,South,FAILED,AMBIGUOUS,2,2026-02-02 17:37:08,2026-02-02 17:39:08,ESCALATE,RECOVERED,True,11352.52
TXN000065,CUST00091,47193.1,INR,CARD,Gateway D,Bank E,East,SUCCESS,,1,2026-03-12 02:32:39,2026-03-12 04:15:39,NONE,ALREADY_SUCCESSFUL,False,0
TXN000066,CUST00245,23771.84,INR,WALLET,Gateway A,Bank C,South,FAILED,REPEATED_FAILURE,4,2026-04-27 01:59:44,2026-04-27 03:42:44,ESCALATE,NOT_RECOVERED,False,0
TXN000067,CUST00871,23542.63,INR,CARD,Gateway C,Bank E,West,FAILED,TEMPORARY_DECLINE,2,2026-08-03 13:04:10,2026-08-03 13:31:10,RETRY_PAYMENT,RECOVERED,True,23542.63
TXN000068,CUST00684,11002.52,INR,NETBANKING,Gateway A,Bank B,West,SUCCESS,,1,2025-12-03 14:19:59,2025-12-03 16:47:59,NONE,ALREADY_SUCCESSFUL,False,0
TXN000069,CUST00658,18800.82,INR,NETBANKING,Gateway D,Bank C,North,FAILED,EXPIRED_CARD,1,2026-06-17 04:16:47,2026-06-17 07:04:47,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
TXN000070,CUST00035,40023.2,INR,NETBANKING,Gateway C,Bank E,East,SUCCESS,,1,2026-01-10 15:06:36,2026-01-10 15:24:36,NONE,ALREADY_SUCCESSFUL,False,0
TXN000071,CUST00106,26146.54,INR,UPI,Gateway A,Bank D,West,SUCCESS,,1,2026-05-06 11:19:15,2026-05-06 12:22:15,NONE,ALREADY_SUCCESSFUL,False,0
TXN000072,CUST00733,44077.73,INR,NETBANKING,Gateway A,Bank B,West,SUCCESS,,1,2025-09-02 02:49:22,2025-09-02 04:25:22,NONE,ALREADY_SUCCESSFUL,False,0
TXN000073,CUST00740,44269.94,INR,CARD,Gateway B,Bank E,West,FAILED,REPEATED_FAILURE,6,2025-12-02 21:42:07,2025-12-02 23:14:07,ESCALATE,NOT_RECOVERED,False,0
TXN000074,CUST00095,15347.33,INR,UPI,Gateway D,Bank E,South,SUCCESS,,1,2025-09-09 08:07:43,2025-09-09 09:37:43,NONE,ALREADY_SUCCESSFUL,False,0
TXN000075,CUST00538,10010.56,INR,WALLET,Gateway B,Bank D,East,SUCCESS,,1,2026-06-30 04:00:57,2026-06-30 06:34:57,NONE,ALREADY_SUCCESSFUL,False,0
TXN000076,CUST00650,7676.17,INR,NETBANKING,Gateway D,Bank B,West,SUCCESS,,1,2025-12-25 07:23:33,2025-12-25 08:04:33,NONE,ALREADY_SUCCESSFUL,False,0
TXN000077,CUST00900,3530.36,INR,WALLET,Gateway B,Bank A,West,SUCCESS,,1,2026-06-20 20:17:21,2026-06-20 21:11:21,NONE,ALREADY_SUCCESSFUL,False,0
TXN000078,CUST00483,243.0,INR,NETBANKING,Gateway C,Bank D,North,SUCCESS,,1,2026-05-16 13:51:52,2026-05-16 15:17:52,NONE,ALREADY_SUCCESSFUL,False,0
TXN000079,CUST00551,26424.18,INR,NETBANKING,Gateway C,Bank E,East,SUCCESS,,1,2026-03-13 09:18:57,2026-03-13 09:28:57,NONE,ALREADY_SUCCESSFUL,False,0
TXN000080,CUST00184,9165.69,INR,NETBANKING,Gateway B,Bank B,South,FAILED,GATEWAY_FAILURE,2,2025-12-29 14:48:00,2025-12-29 17:44:00,ALTERNATE_METHOD,RECOVERED,True,9165.69
TXN000081,CUST00020,44095.44,INR,WALLET,Gateway D,Bank A,North,FAILED,EXPIRED_CARD,2,2026-07-20 07:18:34,2026-07-20 07:41:34,SEND_PAYMENT_LINK,RECOVERED,True,44095.44
TXN000082,CUST00682,5524.99,INR,UPI,Gateway A,Bank E,East,FAILED,TEMPORARY_DECLINE,1,2025-11-26 02:11:07,2025-11-26 04:20:07,RETRY_PAYMENT,RECOVERED,True,5524.99
TXN000083,CUST00312,49268.62,INR,CARD,Gateway A,Bank A,West,FAILED,TEMPORARY_DECLINE,1,2026-07-25 08:17:13,2026-07-25 08:36:13,RETRY_PAYMENT,RECOVERED,True,49268.62
TXN000084,CUST00754,14388.64,INR,WALLET,Gateway D,Bank B,North,SUCCESS,,1,2025-12-26 04:16:19,2025-12-26 05:48:19,NONE,ALREADY_SUCCESSFUL,False,0
TXN000085,CUST00432,45770.97,INR,CARD,Gateway D,Bank C,East,SUCCESS,,1,2026-03-19 14:35:20,2026-03-19 16:53:20,NONE,ALREADY_SUCCESSFUL,False,0
TXN000086,CUST00651,1938.85,INR,UPI,Gateway D,Bank D,West,SUCCESS,,1,2025-10-02 22:02:20,2025-10-02 23:43:20,NONE,ALREADY_SUCCESSFUL,False,0
TXN000087,CUST00084,20857.66,INR,WALLET,Gateway D,Bank A,North,SUCCESS,,1,2026-06-27 01:46:27,2026-06-27 04:14:27,NONE,ALREADY_SUCCESSFUL,False,0
TXN000088,CUST00895,16654.78,INR,WALLET,Gateway B,Bank A,North,SUCCESS,,1,2026-02-10 04:48:38,2026-02-10 06:17:38,NONE,ALREADY_SUCCESSFUL,False,0
TXN000089,CUST00093,17656.84,INR,WALLET,Gateway B,Bank D,West,FAILED,TEMPORARY_DECLINE,1,2026-08-25 22:27:28,2026-08-25 23:21:28,RETRY_PAYMENT,RECOVERED,True,17656.84
TXN000090,CUST00111,36804.99,INR,UPI,Gateway A,Bank A,North,SUCCESS,,1,2026-02-13 07:36:09,2026-02-13 08:52:09,NONE,ALREADY_SUCCESSFUL,False,0
TXN000091,CUST00217,26309.9,INR,CARD,Gateway C,Bank D,South,SUCCESS,,1,2026-01-23 06:58:32,2026-01-23 07:15:32,NONE,ALREADY_SUCCESSFUL,False,0
TXN000092,CUST00316,22799.13,INR,CARD,Gateway C,Bank B,South,SUCCESS,,1,2025-09-14 01:26:42,2025-09-14 02:31:42,NONE,ALREADY_SUCCESSFUL,False,0
TXN000093,CUST00514,27016.19,INR,NETBANKING,Gateway D,Bank C,West,SUCCESS,,1,2026-01-17 06:53:17,2026-01-17 07:06:17,NONE,ALREADY_SUCCESSFUL,False,0
TXN000094,CUST00102,19549.14,INR,WALLET,Gateway D,Bank B,West,SUCCESS,,1,2025-11-18 00:32:47,2025-11-18 02:06:47,NONE,ALREADY_SUCCESSFUL,False,0
TXN000095,CUST00201,14051.82,INR,UPI,Gateway D,Bank E,South,SUCCESS,,1,2025-10-03 13:55:49,2025-10-03 15:21:49,NONE,ALREADY_SUCCESSFUL,False,0
TXN000096,CUST00912,21379.09,INR,NETBANKING,Gateway B,Bank D,West,FAILED,AMBIGUOUS,1,2025-11-08 05:45:12,2025-11-08 08:11:12,ESCALATE,NOT_RECOVERED,False,0
TXN000097,CUST00808,35073.98,INR,NETBANKING,Gateway B,Bank E,East,SUCCESS,,1,2026-02-04 11:47:22,2026-02-04 11:49:22,NONE,ALREADY_SUCCESSFUL,False,0
TXN000098,CUST00200,14720.34,INR,UPI,Gateway D,Bank B,East,SUCCESS,,1,2025-11-24 17:17:08,2025-11-24 18:03:08,NONE,ALREADY_SUCCESSFUL,False,0
TXN000099,CUST00918,42364.53,INR,UPI,Gateway C,Bank E,South,SUCCESS,,1,2026-05-05 15:57:04,2026-05-05 18:35:04,NONE,ALREADY_SUCCESSFUL,False,0
TXN000100,CUST00295,9362.73,INR,UPI,Gateway D,Bank B,East,SUCCESS,,1,2025-12-07 18:29:19,2025-12-07 18:55:19,NONE,ALREADY_SUCCESSFUL,False,0
TXN000101,CUST00419,25868.57,INR,WALLET,Gateway A,Bank D,South,SUCCESS,,1,2026-02-24 01:30:50,2026-02-24 04:14:50,NONE,ALREADY_SUCCESSFUL,False,0
TXN000102,CUST00963,39271.57,INR,NETBANKING,Gateway B,Bank A,North,SUCCESS,,1,2026-03-22 03:33:18,2026-03-22 05:43:18,NONE,ALREADY_SUCCESSFUL,False,0
TXN000103,CUST00275,43598.06,INR,WALLET,Gateway D,Bank E,North,SUCCESS,,1,2026-07-05 20:40:06,2026-07-05 21:07:06,NONE,ALREADY_SUCCESSFUL,False,0
TXN000104,CUST00080,18000.98,INR,NETBANKING,Gateway D,Bank B,East,SUCCESS,,1,2026-06-20 13:39:16,2026-06-20 15:19:16,NONE,ALREADY_SUCCESSFUL,False,0
TXN000105,CUST00611,23736.33,INR,NETBANKING,Gateway A,Bank C,East,ABANDONED,ABANDONED_CHECKOUT,1,2026-07-11 16:38:52,2026-07-11 19:16:52,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
TXN000106,CUST00780,12595.34,INR,WALLET,Gateway B,Bank C,West,FAILED,EXPIRED_CARD,1,2026-08-08 12:08:59,2026-08-08 13:17:59,SEND_PAYMENT_LINK,RECOVERED,True,12595.34
TXN000107,CUST00881,33547.03,INR,NETBANKING,Gateway C,Bank B,West,SUCCESS,,1,2026-04-27 18:07:11,2026-04-27 18:22:11,NONE,ALREADY_SUCCESSFUL,False,0
TXN000108,CUST00684,2222.2,INR,NETBANKING,Gateway C,Bank D,West,SUCCESS,,1,2026-03-31 21:00:26,2026-03-31 23:31:26,NONE,ALREADY_SUCCESSFUL,False,0
TXN000109,CUST00037,36910.8,INR,UPI,Gateway B,Bank D,West,FAILED,AMBIGUOUS,1,2026-02-12 09:06:24,2026-02-12 09:23:24,ESCALATE,NOT_RECOVERED,False,0
TXN000110,CUST00380,15192.4,INR,NETBANKING,Gateway A,Bank D,West,FAILED,TEMPORARY_DECLINE,2,2026-03-24 02:37:38,2026-03-24 05:21:38,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000111,CUST00467,10106.04,INR,UPI,Gateway D,Bank A,East,SUCCESS,,1,2026-08-07 20:23:41,2026-08-07 22:01:41,NONE,ALREADY_SUCCESSFUL,False,0
TXN000112,CUST00026,27463.87,INR,CARD,Gateway B,Bank D,South,FAILED,INSUFFICIENT_FUNDS,1,2026-04-23 17:10:19,2026-04-23 17:53:19,RETRY_PAYMENT,RECOVERED,True,27463.87
TXN000113,CUST00068,645.11,INR,NETBANKING,Gateway B,Bank B,East,FAILED,TEMPORARY_DECLINE,1,2026-04-09 22:52:34,2026-04-10 01:24:34,RETRY_PAYMENT,RECOVERED,True,645.11
TXN000114,CUST00912,6801.77,INR,CARD,Gateway D,Bank D,East,SUCCESS,,1,2025-10-28 19:20:49,2025-10-28 20:38:49,NONE,ALREADY_SUCCESSFUL,False,0
TXN000115,CUST00472,6456.19,INR,UPI,Gateway A,Bank E,East,SUCCESS,,1,2026-02-03 06:37:26,2026-02-03 08:43:26,NONE,ALREADY_SUCCESSFUL,False,0
TXN000116,CUST00382,14953.49,INR,NETBANKING,Gateway A,Bank B,East,SUCCESS,,1,2025-10-17 03:38:09,2025-10-17 04:57:09,NONE,ALREADY_SUCCESSFUL,False,0
TXN000117,CUST00479,33402.36,INR,NETBANKING,Gateway B,Bank D,West,FAILED,TEMPORARY_DECLINE,1,2025-11-09 06:08:49,2025-11-09 08:16:49,RETRY_PAYMENT,NOT_RECOVERED,False,0
TXN000118,CUST00498,18959.33,INR,CARD,Gateway C,Bank A,West,FAILED,INSUFFICIENT_FUNDS,1,2025-12-27 04:24:00,2025-12-27 05:25:00,RETRY_PAYMENT,RECOVERED,True,18959.33
TXN000119,CUST00100,14139.34,INR,NETBANKING,Gateway A,Bank B,East,SUCCESS,,1,2026-06-29 09:03:56,2026-06-29 09:54:56,NONE,ALREADY_SUCCESSFUL,False,0
TXN000120,CUST00526,10747.97,INR,UPI,Gateway A,Bank D,East,SUCCESS,,1,2026-02-10 18:15:09,2026-02-10 20:47:09,NONE,ALREADY_SUCCESSFUL,False,0
TXN000121,CUST00540,39087.22,INR,CARD,Gateway A,Bank D,South,SUCCESS,,1,2025-09-03 01:05:18,2025-09-03 03:20:18,NONE,ALREADY_SUCCESSFUL,False,0
TXN000122,CUST00020,17712.2,INR,WALLET,Gateway A,Bank B,East,ABANDONED,ABANDONED_CHECKOUT,1,2026-07-30 14:07:46,2026-07-30 17:03:46,SEND_PAYMENT_LINK,RECOVERED,True,17712.2
TXN000123,CUST00635,21213.77,INR,UPI,Gateway D,Bank D,North,SUCCESS,,1,2025-10-10 06:20:48,2025-10-10 07:47:48,NONE,ALREADY_SUCCESSFUL,False,0
TXN000124,CUST00455,38992.9,INR,UPI,Gateway B,Bank D,South,FAILED,REPEATED_FAILURE,6,2026-08-09 17:40:03,2026-08-09 18:35:03,ESCALATE,NOT_RECOVERED,False,0
TXN000125,CUST00948,13258.91,INR,CARD,Gateway B,Bank D,South,ABANDONED,ABANDONED_CHECKOUT,1,2026-03-31 10:18:00,2026-03-31 10:54:00,SEND_PAYMENT_LINK,NOT_RECOVERED,False,0
TXN000126,CUST00215,41212.91,INR,CARD,Gateway B,Bank C,West,SUCCESS,,1,2026-06-03 07:02:34,2026-06-03 09:27:34,NONE,ALREADY_SUCCESSFUL,False,0
TXN000127,CUST00582,37452.75,INR,NETBANKING,Gateway A,Bank B,South,SUCCESS,,1,2026-06-21 12:55:33,2026-06-21 13:51:33,NONE,ALREADY_SUCCESSFUL,False,0
TXN000128,CUST00225,16909.52,INR,UPI,Gateway A,Bank C,North,FAILED,GATEWAY_FAILURE,1,2025-12-28 19:13:07,2025-12-28 22:12:07,ALTERNATE_METHOD,NOT_RECOVERED,False,0
TXN000129,CUST00811,8462.95,INR,UPI,Gateway A,Bank A,North,SUCCESS,,1,2026-01-22 16:39:45,2026-01-22 17:40:45,NONE,ALREADY_SUCCESSFUL,False,0
TXN000130,CUST00994,17559.3,INR,CARD,Gateway D,Bank C,South,SUCCESS,,1,2026-04-04 15:37:24,2026-04-04 18:28:24,NONE,ALREADY_SUCCESSFUL,False,0
TXN000131,CUST00211,12223.69,INR,CARD,Gateway B,Bank D,North,SUCCESS,,1,2026-04-09 16:08:44,2026-04-09 17:27:44,NONE,ALREADY_SUCCESSFUL,False,0
TXN000132,CUST00698,30338.79,INR,UPI,Gateway B,Bank C,South,SUCCESS,,1,2026-06-25 14:48:39,2026-06-25 16:38:39,NONE,ALREADY_SUCCESSFUL,False,0
TXN000133,CUST00945,49211.26,INR,WALLET,Gateway B,Bank E,West,SUCCESS,,1,2026-06-20 08:23:17,2026-06-20 10:01:17,NONE,ALREADY_SUCCESSFUL,False,0
TXN000134,CUST00899,30779.5,INR,UPI,Gateway C,Bank A,West,FAILED,AMBIGUOUS,1,2026-06-20 02:03:30,2026-06-20 04:33:30,ESCALATE,NOT_RECOVERED,False,0
TXN000135,CUST00332,49983.37,INR,CARD,Gateway C,Bank E,South,FAILED,INSUFFICIENT_FUNDS,1,2026-02-21 17:16:00,2026-02-21 17:47:00,RETRY_PAYMENT,NOT_RECOVERED,False,0
